parcel_id,crop_code,crop_name,crop_purity,area_mu,area_ha,area_m2,perimeter_m,compactness,machinery_suitability,center_lon,center_lat
GLC10_P0321,10,大田农作物 (通用耕地),1.0,21.9,1.46,14600.0,1037.3,0.171,良 (标准规整农机作业区),-13.265042,16.167296
GLC10_P0322,10,大田农作物 (通用耕地),1.0,21.9,1.46,14600.0,656.2,0.426,优 (集中连片优质适机区),-13.168571,16.179906
GLC10_P0323,10,大田农作物 (通用耕地),1.0,21.75,1.45,14500.0,747.9,0.326,良 (标准规整农机作业区),-13.391926,16.93112
GLC10_P0324,10,大田农作物 (通用耕地),1.0,21.75,1.45,14500.0,605.7,0.497,优 (集中连片优质适机区),-13.786849,16.113959
GLC10_P0325,10,大田农作物 (通用耕地),0.993,21.75,1.45,14500.0,975.0,0.192,良 (标准规整农机作业区),-13.553059,16.085817
GLC10_P0326,10,大田农作物 (通用耕地),1.0,21.75,1.45,14500.0,548.4,0.606,优 (集中连片优质适机区),-13.703851,16.158564
GLC10_P0327,10,大田农作物 (通用耕地),0.993,21.6,1.44,14400.0,708.1,0.361,优 (集中连片优质适机区),-13.449021,16.068371
GLC10_P0328,10,大田农作物 (通用耕地),1.0,21.6,1.44,14400.0,861.3,0.244,良 (标准规整农机作业区),-13.932489,16.286892
GLC10_P0329,10,大田农作物 (通用耕地),1.0,21.6,1.44,14400.0,621.5,0.468,优 (集中连片优质适机区),-13.651292,16.008164
GLC10_P0330,10,大田农作物 (通用耕地),1.0,21.45,1.43,14300.0,865.5,0.24,良 (标准规整农机作业区),-12.564347,17.158439
GLC10_P0331,10,大田农作物 (通用耕地),1.0,21.45,1.43,14300.0,752.0,0.318,良 (标准规整农机作业区),-13.165506,16.193999
GLC10_P0332,10,大田农作物 (通用耕地),0.993,21.3,1.42,14200.0,551.0,0.588,优 (集中连片优质适机区),-13.40457,16.153153
GLC10_P0333,10,大田农作物 (通用耕地),0.993,21.15,1.41,14100.0,603.8,0.486,优 (集中连片优质适机区),-13.423329,16.054361
GLC10_P0334,10,大田农作物 (通用耕地),0.986,21.15,1.41,14100.0,533.9,0.622,优 (集中连片优质适机区),-13.459976,16.098128
GLC10_P0335,10,大田农作物 (通用耕地),1.0,21.15,1.41,14100.0,1017.3,0.171,良 (标准规整农机作业区),-12.32584,17.247109
GLC10_P0336,10,大田农作物 (通用耕地),1.0,21.15,1.41,14100.0,663.0,0.403,优 (集中连片优质适机区),-13.370509,16.022254
GLC10_P0337,10,大田农作物 (通用耕地),1.0,21.0,1.4,14000.0,678.5,0.382,优 (集中连片优质适机区),-13.221302,16.184688
GLC10_P0338,10,大田农作物 (通用耕地),1.0,21.0,1.4,14000.0,701.0,0.358,优 (集中连片优质适机区),-13.537071,16.432046
GLC10_P0339,10,大田农作物 (通用耕地),1.0,20.85,1.39,13900.0,901.0,0.215,良 (标准规整农机作业区),-13.185634,16.821857
GLC10_P0340,10,大田农作物 (通用耕地),1.0,20.85,1.39,13900.0,725.7,0.332,良 (标准规整农机作业区),-12.737943,16.140987
GLC10_P0341,10,大田农作物 (通用耕地),1.0,20.85,1.39,13900.0,617.3,0.458,优 (集中连片优质适机区),-13.625133,16.01476
GLC10_P0342,10,大田农作物 (通用耕地),1.0,20.7,1.38,13800.0,531.4,0.614,优 (集中连片优质适机区),-13.476895,16.073018
GLC10_P0343,10,大田农作物 (通用耕地),1.0,20.7,1.38,13800.0,839.2,0.246,良 (标准规整农机作业区),-13.20696,16.168478
GLC10_P0344,10,大田农作物 (通用耕地),1.0,20.55,1.37,13700.0,587.3,0.499,优 (集中连片优质适机区),-13.780352,16.100617
GLC10_P0345,10,大田农作物 (通用耕地),1.0,20.25,1.35,13500.0,662.5,0.387,优 (集中连片优质适机区),-13.353151,16.025002
GLC10_P0346,10,大田农作物 (通用耕地),1.0,20.25,1.35,13500.0,790.5,0.272,良 (标准规整农机作业区),-13.410301,16.925173
GLC10_P0347,10,大田农作物 (通用耕地),0.985,20.1,1.34,13400.0,699.4,0.344,良 (标准规整农机作业区),-13.963621,16.291078
GLC10_P0348,10,大田农作物 (通用耕地),0.985,20.1,1.34,13400.0,587.8,0.487,优 (集中连片优质适机区),-13.473375,16.147254
GLC10_P0349,10,大田农作物 (通用耕地),1.0,20.1,1.34,13400.0,825.9,0.247,良 (标准规整农机作业区),-13.11257,16.224337
GLC10_P0350,10,大田农作物 (通用耕地),0.985,20.1,1.34,13400.0,677.1,0.367,优 (集中连片优质适机区),-12.749489,16.112021
GLC10_P0351,10,大田农作物 (通用耕地),1.0,20.1,1.34,13400.0,526.6,0.607,优 (集中连片优质适机区),-13.769579,16.102867
GLC10_P0352,10,大田农作物 (通用耕地),1.0,20.1,1.34,13400.0,728.2,0.318,良 (标准规整农机作业区),-13.278672,16.183719
GLC10_P0353,10,大田农作物 (通用耕地),1.0,19.95,1.33,13300.0,701.7,0.339,良 (标准规整农机作业区),-13.656906,16.012752
GLC10_P0354,10,大田农作物 (通用耕地),0.985,19.95,1.33,13300.0,1033.9,0.156,良 (标准规整农机作业区),-13.502321,16.444787
GLC10_P0355,10,大田农作物 (通用耕地),1.0,19.95,1.33,13300.0,651.2,0.394,优 (集中连片优质适机区),-12.945511,16.152862
